id;couponid;couponname;coupon;type
1;90444;Spain;18456;morph navigate Computer
2;76017;bleeding-edge copy;65094;Hat integrate
3;49355;Costa Rica PCI local;58907;Iowa transmitter
4;7454;Sports Som;77137;Checking Account Sleek JBOD
5;22071;Cotton Human SCSI;90736;metrics Assistant
6;59171;bandwidth-monitored;58272;Handcrafted
7;79993;Lead copy;8862;Rwanda North Korean Won Jewelery
8;21952;protocol;5502;Ohio
9;82866;Automotive;57927;indexing
10;73220;Personal Loan Account recontextualize;33237;New York Producer applications
