id;foodid;categoryid;foodname;description;price
1;18488;63652;back-end;firewall;45506
2;56830;33552;copy;Tasty implementation Bulgarian Lev;56126
3;62684;89892;Movies;intuitive;41106
4;97026;83920;Intranet Intelligent Wooden Hat Wooden;envisioneer;99987
5;55388;96833;microchip Bolivar Fuerte RSS;Roads indexing backing up;8158
6;15449;82829;initiative Usability;Slovenia compressing;13050
7;96670;13491;archive;blue indexing vortals;78519
8;52370;73633;multi-byte Solutions;neural Home Loan Account;67825
9;48442;83056;methodical;Inverse;75413
10;45542;78664;Steel;integrated;49900
